2019-08-09 05:15:52,079 p=1 u=root |  ERROR! the playbook: init.yaml could not be found
2019-08-09 05:16:28,450 p=1 u=root |  ERROR! the playbook: playbooks/init.yml could not be found
2019-08-09 05:16:55,149 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:16:55,182 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:17:06,436 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:17:06,679 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:17:07,710 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:17:09,146 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:17:09,364 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:17:09,472 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:17:09,647 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:17:09,719 p=1 u=root |  fatal: [10.1.10.11]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'f5app_services_package_server' is undefined\n\nThe error appears to be in '/ansible/roles.galaxy/f5devcentral.f5app_services_package/tasks/main.yaml': line 5, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: Set Connection Facts\n  ^ here\n"}
2019-08-09 05:17:09,721 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:17:09,736 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:17:09,737 p=1 u=root |  10.1.10.11                 : ok=2    changed=1    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2019-08-09 05:19:03,952 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:19:03,995 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:19:11,899 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:19:12,068 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:19:13,350 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:19:14,577 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:19:14,806 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:19:14,909 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:19:15,059 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:19:15,128 p=1 u=root |  fatal: [10.1.10.11]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'f5app_services_package_user' is undefined\n\nThe error appears to be in '/ansible/roles.galaxy/f5devcentral.f5app_services_package/tasks/main.yaml': line 5, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: Set Connection Facts\n  ^ here\n"}
2019-08-09 05:19:15,129 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:19:15,133 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:19:15,133 p=1 u=root |  10.1.10.11                 : ok=2    changed=1    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2019-08-09 05:19:47,446 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:19:47,475 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:19:56,487 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:19:56,692 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:19:57,780 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:19:58,949 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:19:59,119 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:19:59,180 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:19:59,374 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:19:59,483 p=1 u=root |  fatal: [10.1.10.11]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'f5app_services_package_server_port' is undefined\n\nThe error appears to be in '/ansible/roles.galaxy/f5devcentral.f5app_services_package/tasks/main.yaml': line 5, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: Set Connection Facts\n  ^ here\n"}
2019-08-09 05:19:59,485 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:19:59,489 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:19:59,490 p=1 u=root |  10.1.10.11                 : ok=2    changed=1    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2019-08-09 05:21:22,739 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:21:22,757 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:21:31,168 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:21:31,411 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:21:32,694 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:21:33,932 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:21:34,151 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:21:34,206 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:34,420 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:21:34,488 p=1 u=root |  ok: [10.1.10.11]
